,param,seasonal,AIC
0,"(1, 0, 1)","(1, 0, 1, 12)",-559.277997359667
1,"(1, 0, 1)","(1, 0, 2, 12)",-490.126200093247
2,"(1, 0, 1)","(1, 0, 3, 12)",2355.401573758293
3,"(1, 0, 1)","(1, 1, 1, 12)",-493.878656422498
4,"(1, 0, 1)","(1, 1, 2, 12)",-436.26315997436245
5,"(1, 0, 1)","(1, 1, 3, 12)",-382.55026332296956
6,"(1, 0, 1)","(2, 0, 1, 12)",-497.4743397294445
7,"(1, 0, 1)","(2, 0, 2, 12)",-501.72269438223486
8,"(1, 0, 1)","(2, 0, 3, 12)",1744.1350634022626
9,"(1, 0, 1)","(2, 1, 1, 12)",-445.16643018144663
10,"(1, 0, 1)","(2, 1, 2, 12)",-436.34794801146256
11,"(1, 0, 1)","(2, 1, 3, 12)",-380.8812386437635
12,"(1, 0, 1)","(3, 0, 1, 12)",-443.36773864506154
13,"(1, 0, 1)","(3, 0, 2, 12)",-444.30748245285463
14,"(1, 0, 1)","(3, 0, 3, 12)",2122.2691318073985
15,"(1, 0, 1)","(3, 1, 1, 12)",-396.67463318634447
16,"(1, 0, 1)","(3, 1, 2, 12)",-395.9185859762166
17,"(1, 0, 1)","(3, 1, 3, 12)",-391.75715239497737
18,"(1, 0, 2)","(1, 0, 1, 12)",-550.970839539941
19,"(1, 0, 2)","(1, 0, 2, 12)",-483.46808843248266
20,"(1, 0, 2)","(1, 0, 3, 12)",2561.473324084843
21,"(1, 0, 2)","(1, 1, 1, 12)",-486.9960655831503
22,"(1, 0, 2)","(1, 1, 2, 12)",-432.8252302121144
23,"(1, 0, 2)","(1, 1, 3, 12)",-377.4757055884369
24,"(1, 0, 2)","(2, 0, 1, 12)",-495.4743785383303
25,"(1, 0, 2)","(2, 0, 2, 12)",-496.86841332168945
26,"(1, 0, 2)","(2, 0, 3, 12)",1957.5767158069505
27,"(1, 0, 2)","(2, 1, 1, 12)",-443.4341994160844
28,"(1, 0, 2)","(2, 1, 2, 12)",-428.28627568502725
29,"(1, 0, 2)","(2, 1, 3, 12)",-379.2632743541697
30,"(1, 0, 2)","(3, 0, 1, 12)",-441.1329344801954
31,"(1, 0, 2)","(3, 0, 2, 12)",-442.3058871194351
32,"(1, 0, 2)","(3, 0, 3, 12)",2331.234110372741
33,"(1, 0, 2)","(3, 1, 1, 12)",-395.34663464094484
34,"(1, 0, 2)","(3, 1, 2, 12)",-393.7349589009952
35,"(1, 0, 2)","(3, 1, 3, 12)",-381.10012287199385
36,"(1, 0, 3)","(1, 0, 1, 12)",-545.690109017734
37,"(1, 0, 3)","(1, 0, 2, 12)",-478.9422620797695
38,"(1, 0, 3)","(1, 0, 3, 12)",2296.921789621667
39,"(1, 0, 3)","(1, 1, 1, 12)",-483.04747317092307
40,"(1, 0, 3)","(1, 1, 2, 12)",-419.4055368936463
41,"(1, 0, 3)","(1, 1, 3, 12)",-375.82888884921005
42,"(1, 0, 3)","(2, 0, 1, 12)",-497.31728328516203
